month,entry_time,exit_time,entry_price,exit_price,direction,pnl,exit_reason,killzone_window,lr_regime,cumulative_pnl
2025-02,2025-02-04T09:30:00+00:00,2025-02-04T09:31:00+00:00,98645.0,98619.0,bullish,-28.0,stop_loss,London AM,SIDEWAYS,-28.0
2025-02,2025-02-07T15:58:00+00:00,2025-02-07T16:02:00+00:00,98248.5,97825.5,bullish,-425.0,stop_loss,NY AM,SIDEWAYS,-453.0
2025-02,2025-02-10T09:18:00+00:00,2025-02-10T09:28:00+00:00,97817.5,97792.5,bullish,-27.0,stop_loss,London AM,SIDEWAYS,-480.0
2025-02,2025-02-11T15:57:00+00:00,2025-02-11T15:58:00+00:00,97036.0,97010.0,bullish,-28.0,stop_loss,NY AM,SIDEWAYS,-508.0
2025-02,2025-02-14T09:37:00+00:00,2025-02-14T09:39:00+00:00,97086.5,97102.0,bullish,13.5,target,London AM,SIDEWAYS,-494.5
2025-02,2025-02-17T15:11:00+00:00,2025-02-17T15:12:00+00:00,96713.0,96647.0,bullish,-68.0,stop_loss,NY AM,SIDEWAYS,-562.5
2025-02,2025-02-24T09:20:00+00:00,2025-02-24T09:21:00+00:00,95750.0,95740.0,bullish,-12.0,stop_loss,London AM,SIDEWAYS,-574.5
2025-02,2025-02-05T09:06:00+00:00,2025-02-05T09:16:00+00:00,97837.0,97943.0,bearish,-108.0,stop_loss,London AM,DOWN,-682.5
2025-02,2025-02-07T09:42:00+00:00,2025-02-07T09:43:00+00:00,97317.5,97372.5,bearish,-57.0,stop_loss,London AM,DOWN,-739.5
2025-02,2025-02-17T09:14:00+00:00,2025-02-17T09:40:00+00:00,96263.0,96301.0,bearish,-40.0,stop_loss,London AM,DOWN,-779.5
2025-02,2025-02-19T09:30:00+00:00,2025-02-19T09:41:00+00:00,95797.0,95823.0,bearish,-28.0,stop_loss,London AM,SIDEWAYS,-807.5
2025-02,2025-02-24T15:38:00+00:00,2025-02-24T15:40:00+00:00,94291.5,94132.0,bearish,157.5,target,NY AM,DOWN,-650.0
2025-02,2025-02-25T10:04:00+00:00,2025-02-25T10:05:00+00:00,88614.5,88789.5,bearish,-177.0,stop_loss,London AM,DOWN,-827.0
2025-02,2025-02-26T16:02:00+00:00,2025-02-26T16:04:00+00:00,87735.5,87404.0,bearish,329.5,target,NY AM,DOWN,-497.5
2025-03,2025-03-11T08:58:00+00:00,2025-03-11T09:26:00+00:00,81125.5,81537.0,bullish,409.5,target,London AM,SIDEWAYS,-88.0
2025-03,2025-03-12T08:47:00+00:00,2025-03-12T08:51:00+00:00,82649.5,82630.5,bullish,-21.0,stop_loss,London AM,SIDEWAYS,-109.0
2025-03,2025-03-14T14:07:00+00:00,2025-03-14T14:08:00+00:00,83196.5,83129.5,bullish,-69.0,stop_loss,NY AM,UP,-178.0
2025-03,2025-03-18T08:07:00+00:00,2025-03-18T08:09:00+00:00,83230.5,83191.5,bullish,-41.0,stop_loss,London AM,SIDEWAYS,-219.0
2025-03,2025-03-19T08:44:00+00:00,2025-03-19T08:50:00+00:00,83396.5,83500.0,bullish,101.5,target,London AM,SIDEWAYS,-117.5
2025-03,2025-03-24T08:20:00+00:00,2025-03-24T08:22:00+00:00,87198.5,87290.0,bullish,89.5,target,London AM,UP,-28.0
2025-03,2025-03-25T08:58:00+00:00,2025-03-25T09:01:00+00:00,86744.5,86721.5,bullish,-25.0,stop_loss,London AM,SIDEWAYS,-53.0
2025-03,2025-03-26T08:07:00+00:00,2025-03-26T08:11:00+00:00,88146.5,88117.5,bullish,-31.0,stop_loss,London AM,UP,-84.0
2025-03,2025-03-03T15:55:00+00:00,2025-03-03T15:57:00+00:00,90685.5,90314.0,bearish,369.5,target,NY AM,SIDEWAYS,285.5
2025-03,2025-03-04T15:27:00+00:00,2025-03-04T15:31:00+00:00,82397.5,82616.5,bearish,-221.0,stop_loss,NY AM,DOWN,64.5
2025-03,2025-03-11T14:09:00+00:00,2025-03-11T14:27:00+00:00,81096.0,80058.0,bearish,1036.0,target,NY AM,SIDEWAYS,1100.5
2025-03,2025-03-17T08:27:00+00:00,2025-03-17T08:46:00+00:00,83501.5,83584.5,bearish,-85.0,stop_loss,London AM,DOWN,1015.5
2025-03,2025-03-17T14:08:00+00:00,2025-03-17T14:10:00+00:00,82821.5,82565.0,bearish,254.5,target,NY AM,DOWN,1270.0
2025-03,2025-03-21T08:35:00+00:00,2025-03-21T08:37:00+00:00,83765.5,83788.5,bearish,-25.0,stop_loss,London AM,DOWN,1245.0
2025-03,2025-03-21T14:15:00+00:00,2025-03-21T14:21:00+00:00,83811.5,83956.5,bearish,-147.0,stop_loss,NY AM,DOWN,1098.0
2025-03,2025-03-25T15:00:00+00:00,2025-03-25T15:02:00+00:00,88062.0,88162.0,bearish,-102.0,stop_loss,NY AM,SIDEWAYS,996.0
2025-03,2025-03-28T14:39:00+00:00,2025-03-28T14:40:00+00:00,84366.0,84448.0,bearish,-84.0,stop_loss,NY AM,DOWN,912.0
2025-04,2025-04-01T08:41:00+00:00,2025-04-01T10:41:00+00:00,84009.0,84334.0,bullish,323.0,time_exit,London AM,UP,1235.0
2025-04,2025-04-02T08:09:00+00:00,2025-04-02T08:15:00+00:00,84351.5,84318.5,bullish,-35.0,stop_loss,London AM,SIDEWAYS,1200.0
2025-04,2025-04-02T14:43:00+00:00,2025-04-02T14:56:00+00:00,85557.0,85845.0,bullish,286.0,target,NY AM,UP,1486.0
2025-04,2025-04-04T08:08:00+00:00,2025-04-04T08:10:00+00:00,84076.0,84337.0,bullish,259.0,target,London AM,SIDEWAYS,1745.0
2025-04,2025-04-04T14:27:00+00:00,2025-04-04T14:29:00+00:00,82791.5,82712.5,bullish,-81.0,stop_loss,NY AM,SIDEWAYS,1664.0
2025-04,2025-04-09T08:08:00+00:00,2025-04-09T08:09:00+00:00,77525.0,77415.0,bullish,-112.0,stop_loss,London AM,SIDEWAYS,1552.0
2025-04,2025-04-11T08:11:00+00:00,2025-04-11T08:14:00+00:00,81570.5,81425.5,bullish,-147.0,stop_loss,London AM,SIDEWAYS,1405.0
2025-04,2025-04-11T14:55:00+00:00,2025-04-11T15:05:00+00:00,81959.0,81799.0,bullish,-162.0,stop_loss,NY AM,UP,1243.0
2025-04,2025-04-16T14:54:00+00:00,2025-04-16T14:56:00+00:00,84646.5,84561.5,bullish,-87.0,stop_loss,NY AM,SIDEWAYS,1156.0
2025-04,2025-04-18T08:21:00+00:00,2025-04-18T08:26:00+00:00,84707.0,84766.0,bullish,57.0,target,London AM,SIDEWAYS,1213.0
2025-04,2025-04-18T14:13:00+00:00,2025-04-18T14:16:00+00:00,84505.0,84479.0,bullish,-28.0,stop_loss,NY AM,SIDEWAYS,1185.0
2025-04,2025-04-22T08:24:00+00:00,2025-04-22T08:33:00+00:00,88471.0,88371.0,bullish,-102.0,stop_loss,London AM,UP,1083.0
2025-04,2025-04-22T14:19:00+00:00,2025-04-22T14:20:00+00:00,90381.0,90339.0,bullish,-44.0,stop_loss,NY AM,UP,1039.0
2025-04,2025-04-23T08:05:00+00:00,2025-04-23T08:14:00+00:00,94024.0,94325.0,bullish,299.0,target,London AM,UP,1338.0
2025-04,2025-04-25T08:07:00+00:00,2025-04-25T09:03:00+00:00,93748.0,93666.0,bullish,-84.0,stop_loss,London AM,UP,1254.0
2025-04,2025-04-28T08:24:00+00:00,2025-04-28T08:28:00+00:00,94762.0,94867.0,bullish,103.0,target,London AM,SIDEWAYS,1357.0
2025-04,2025-04-28T14:13:00+00:00,2025-04-28T14:21:00+00:00,94525.5,94886.0,bullish,358.5,target,NY AM,UP,1715.5
2025-04,2025-04-29T08:11:00+00:00,2025-04-29T08:14:00+00:00,95030.0,95018.0,bullish,-14.0,stop_loss,London AM,SIDEWAYS,1701.5
2025-04,2025-04-14T08:33:00+00:00,2025-04-14T08:34:00+00:00,84618.5,84651.5,bearish,-35.0,stop_loss,London AM,DOWN,1666.5
2025-04,2025-04-16T08:24:00+00:00,2025-04-16T08:27:00+00:00,83274.5,83339.5,bearish,-67.0,stop_loss,London AM,DOWN,1599.5
2025-04,2025-04-23T14:27:00+00:00,2025-04-23T15:01:00+00:00,93234.0,92732.0,bearish,500.0,target,NY AM,SIDEWAYS,2099.5
2025-04,2025-04-29T14:08:00+00:00,2025-04-29T14:40:00+00:00,95022.0,95202.0,bearish,-182.0,stop_loss,NY AM,SIDEWAYS,1917.5
2025-04,2025-04-30T14:53:00+00:00,2025-04-30T15:01:00+00:00,93910.5,93951.5,bearish,-43.0,stop_loss,NY AM,DOWN,1874.5
2025-05,2025-05-02T08:31:00+00:00,2025-05-02T08:32:00+00:00,96663.0,96651.0,bullish,-14.0,stop_loss,London AM,SIDEWAYS,1860.5
2025-05,2025-05-02T14:16:00+00:00,2025-05-02T14:30:00+00:00,96913.5,97264.0,bullish,348.5,target,NY AM,UP,2209.0
2025-05,2025-05-06T09:01:00+00:00,2025-05-06T09:04:00+00:00,94288.5,94277.5,bullish,-13.0,stop_loss,London AM,SIDEWAYS,2196.0
2025-05,2025-05-07T08:54:00+00:00,2025-05-07T09:11:00+00:00,97016.5,96973.5,bullish,-45.0,stop_loss,London AM,UP,2151.0
2025-05,2025-05-09T08:27:00+00:00,2025-05-09T08:29:00+00:00,103822.5,103667.5,bullish,-157.0,stop_loss,London AM,UP,1994.0
2025-05,2025-05-09T14:27:00+00:00,2025-05-09T14:37:00+00:00,102945.5,102590.5,bullish,-357.0,stop_loss,NY AM,UP,1637.0
2025-05,2025-05-13T08:58:00+00:00,2025-05-13T09:02:00+00:00,102762.5,102858.0,bullish,93.5,target,London AM,SIDEWAYS,1730.5
2025-05,2025-05-14T08:12:00+00:00,2025-05-14T08:53:00+00:00,103612.0,103516.0,bullish,-98.0,stop_loss,London AM,UP,1632.5
2025-05,2025-05-20T08:55:00+00:00,2025-05-20T09:00:00+00:00,105188.5,105271.0,bullish,80.5,target,London AM,SIDEWAYS,1713.0
2025-05,2025-05-20T14:54:00+00:00,2025-05-20T14:57:00+00:00,104753.0,104621.0,bullish,-134.0,stop_loss,NY AM,SIDEWAYS,1579.0
2025-05,2025-05-21T08:22:00+00:00,2025-05-21T09:07:00+00:00,106478.0,106348.0,bullish,-132.0,stop_loss,London AM,UP,1447.0
2025-05,2025-05-23T08:46:00+00:00,2025-05-23T08:52:00+00:00,110951.0,110909.0,bullish,-44.0,stop_loss,London AM,SIDEWAYS,1403.0
2025-05,2025-05-26T08:06:00+00:00,2025-05-26T08:08:00+00:00,110106.0,110050.0,bullish,-58.0,stop_loss,London AM,UP,1345.0
2025-05,2025-05-27T08:12:00+00:00,2025-05-27T08:15:00+00:00,109716.0,109694.0,bullish,-24.0,stop_loss,London AM,SIDEWAYS,1321.0
2025-05,2025-05-28T08:07:00+00:00,2025-05-28T08:08:00+00:00,108962.0,108942.0,bullish,-22.0,stop_loss,London AM,SIDEWAYS,1299.0
2025-05,2025-05-05T08:55:00+00:00,2025-05-05T08:57:00+00:00,94517.5,94542.5,bearish,-27.0,stop_loss,London AM,SIDEWAYS,1272.0
2025-05,2025-05-05T14:37:00+00:00,2025-05-05T14:38:00+00:00,93915.5,93978.5,bearish,-65.0,stop_loss,NY AM,DOWN,1207.0
2025-05,2025-05-13T14:21:00+00:00,2025-05-13T14:28:00+00:00,103225.5,103490.5,bearish,-267.0,stop_loss,NY AM,SIDEWAYS,940.0
2025-05,2025-05-19T08:12:00+00:00,2025-05-19T08:17:00+00:00,103210.0,103296.0,bearish,-88.0,stop_loss,London AM,SIDEWAYS,852.0
2025-05,2025-05-19T14:11:00+00:00,2025-05-19T14:16:00+00:00,103590.5,103745.5,bearish,-157.0,stop_loss,NY AM,DOWN,695.0
2025-05,2025-05-23T14:38:00+00:00,2025-05-23T14:42:00+00:00,109811.5,109612.0,bearish,197.5,target,NY AM,DOWN,892.5
2025-05,2025-05-28T14:59:00+00:00,2025-05-28T15:00:00+00:00,107607.5,107640.5,bearish,-35.0,stop_loss,NY AM,DOWN,857.5
2025-05,2025-05-30T08:32:00+00:00,2025-05-30T09:39:00+00:00,105320.5,104909.0,bearish,409.5,target,London AM,DOWN,1267.0
2025-05,2025-05-30T14:54:00+00:00,2025-05-30T14:55:00+00:00,105349.5,105408.5,bearish,-61.0,stop_loss,NY AM,SIDEWAYS,1206.0
2025-06,2025-06-02T14:43:00+00:00,2025-06-02T14:44:00+00:00,104530.0,104442.0,bullish,-90.0,stop_loss,NY AM,SIDEWAYS,1116.0
2025-06,2025-06-09T08:07:00+00:00,2025-06-09T08:24:00+00:00,105646.5,105613.5,bullish,-35.0,stop_loss,London AM,SIDEWAYS,1081.0
2025-06,2025-06-16T08:41:00+00:00,2025-06-16T08:48:00+00:00,107062.5,107178.0,bullish,113.5,target,London AM,UP,1194.5
2025-06,2025-06-20T08:42:00+00:00,2025-06-20T08:43:00+00:00,106348.0,106290.0,bullish,-60.0,stop_loss,London AM,SIDEWAYS,1134.5
2025-06,2025-06-30T09:00:00+00:00,2025-06-30T09:03:00+00:00,107556.0,107540.0,bullish,-18.0,stop_loss,London AM,SIDEWAYS,1116.5
2025-06,2025-06-30T14:24:00+00:00,2025-06-30T14:49:00+00:00,107346.5,107203.5,bullish,-145.0,stop_loss,NY AM,UP,971.5
2025-06,2025-06-06T08:09:00+00:00,2025-06-06T08:18:00+00:00,103339.5,103442.5,bearish,-105.0,stop_loss,London AM,SIDEWAYS,866.5
2025-06,2025-06-10T08:48:00+00:00,2025-06-10T08:54:00+00:00,109342.5,109182.0,bearish,158.5,target,London AM,SIDEWAYS,1025.0
2025-06,2025-06-10T14:53:00+00:00,2025-06-10T15:01:00+00:00,108774.0,108562.0,bearish,210.0,target,NY AM,SIDEWAYS,1235.0
2025-06,2025-06-11T08:57:00+00:00,2025-06-11T09:02:00+00:00,109627.0,109515.0,bearish,110.0,target,London AM,SIDEWAYS,1345.0
2025-06,2025-06-16T14:01:00+00:00,2025-06-16T14:21:00+00:00,107168.5,107373.5,bearish,-207.0,stop_loss,NY AM,SIDEWAYS,1138.0
2025-06,2025-06-17T08:25:00+00:00,2025-06-17T08:26:00+00:00,106747.0,106755.0,bearish,-10.0,stop_loss,London AM,SIDEWAYS,1128.0
2025-06,2025-06-17T14:12:00+00:00,2025-06-17T14:41:00+00:00,105568.5,105044.0,bearish,522.5,target,NY AM,DOWN,1650.5
2025-06,2025-06-20T14:11:00+00:00,2025-06-20T14:19:00+00:00,105599.0,105663.0,bearish,-66.0,stop_loss,NY AM,SIDEWAYS,1584.5
2025-06,2025-06-23T08:01:00+00:00,2025-06-23T08:04:00+00:00,101964.0,101976.0,bearish,-14.0,stop_loss,London AM,SIDEWAYS,1570.5
2025-06,2025-06-23T14:18:00+00:00,2025-06-23T14:19:00+00:00,102319.0,102379.0,bearish,-62.0,stop_loss,NY AM,DOWN,1508.5
2025-06,2025-06-27T09:00:00+00:00,2025-06-27T09:06:00+00:00,107045.5,106917.0,bearish,126.5,target,London AM,DOWN,1635.0
2025-07,2025-07-02T08:16:00+00:00,2025-07-02T08:17:00+00:00,107424.5,107477.0,bullish,50.5,target,London AM,SIDEWAYS,1685.5
2025-07,2025-07-02T14:08:00+00:00,2025-07-02T14:11:00+00:00,107878.5,107971.0,bullish,90.5,target,NY AM,UP,1776.0
2025-07,2025-07-04T08:32:00+00:00,2025-07-04T08:33:00+00:00,108841.5,108834.5,bullish,-9.0,stop_loss,London AM,SIDEWAYS,1767.0
2025-07,2025-07-07T08:07:00+00:00,2025-07-07T08:10:00+00:00,109065.5,109018.5,bullish,-49.0,stop_loss,London AM,SIDEWAYS,1718.0
2025-07,2025-07-07T14:32:00+00:00,2025-07-07T14:35:00+00:00,108149.5,108070.5,bullish,-81.0,stop_loss,NY AM,SIDEWAYS,1637.0
2025-07,2025-07-09T08:23:00+00:00,2025-07-09T08:24:00+00:00,108822.0,108816.0,bullish,-8.0,stop_loss,London AM,UP,1629.0
2025-07,2025-07-11T08:38:00+00:00,2025-07-11T08:40:00+00:00,118026.0,117958.0,bullish,-70.0,stop_loss,London AM,UP,1559.0
2025-07,2025-07-11T14:39:00+00:00,2025-07-11T14:40:00+00:00,118044.0,118012.0,bullish,-34.0,stop_loss,NY AM,SIDEWAYS,1525.0
2025-07,2025-07-14T14:27:00+00:00,2025-07-14T14:32:00+00:00,121458.5,121225.5,bullish,-235.0,stop_loss,NY AM,SIDEWAYS,1290.0
2025-07,2025-07-16T14:30:00+00:00,2025-07-16T14:31:00+00:00,118520.5,118606.0,bullish,83.5,target,NY AM,SIDEWAYS,1373.5
2025-07,2025-07-18T14:05:00+00:00,2025-07-18T14:06:00+00:00,118872.5,118960.0,bullish,85.5,target,NY AM,SIDEWAYS,1459.0
2025-07,2025-07-21T14:54:00+00:00,2025-07-21T15:08:00+00:00,118992.0,118820.0,bullish,-174.0,stop_loss,NY AM,SIDEWAYS,1285.0
2025-07,2025-07-22T14:32:00+00:00,2025-07-22T14:33:00+00:00,118541.0,118680.0,bullish,137.0,target,NY AM,SIDEWAYS,1422.0
2025-07,2025-07-28T08:26:00+00:00,2025-07-28T08:31:00+00:00,119130.5,119079.5,bullish,-53.0,stop_loss,London AM,SIDEWAYS,1369.0
2025-07,2025-07-30T08:15:00+00:00,2025-07-30T08:16:00+00:00,118111.5,118010.5,bullish,-103.0,stop_loss,London AM,SIDEWAYS,1266.0
2025-07,2025-07-04T14:28:00+00:00,2025-07-04T16:10:00+00:00,108066.5,107546.0,bearish,518.5,target,NY AM,DOWN,1784.5
2025-07,2025-07-08T09:04:00+00:00,2025-07-08T09:05:00+00:00,108300.0,108312.0,bearish,-14.0,stop_loss,London AM,SIDEWAYS,1770.5
2025-07,2025-07-08T14:23:00+00:00,2025-07-08T14:24:00+00:00,108624.5,108576.0,bearish,46.5,target,NY AM,SIDEWAYS,1817.0
2025-07,2025-07-15T08:30:00+00:00,2025-07-15T09:05:00+00:00,116859.0,116961.0,bearish,-104.0,stop_loss,London AM,DOWN,1713.0
2025-07,2025-07-22T08:35:00+00:00,2025-07-22T08:36:00+00:00,118058.5,118163.5,bearish,-107.0,stop_loss,London AM,SIDEWAYS,1606.0
2025-07,2025-07-23T08:47:00+00:00,2025-07-23T08:48:00+00:00,118456.0,118484.0,bearish,-30.0,stop_loss,London AM,SIDEWAYS,1576.0
2025-07,2025-07-25T08:02:00+00:00,2025-07-25T08:14:00+00:00,115451.0,115757.0,bearish,-308.0,stop_loss,London AM,DOWN,1268.0
2025-07,2025-07-25T14:24:00+00:00,2025-07-25T14:25:00+00:00,115767.5,115818.5,bearish,-53.0,stop_loss,NY AM,SIDEWAYS,1215.0
2025-07,2025-07-28T14:41:00+00:00,2025-07-28T14:44:00+00:00,118233.0,118339.0,bearish,-108.0,stop_loss,NY AM,SIDEWAYS,1107.0
2025-07,2025-07-29T08:39:00+00:00,2025-07-29T08:40:00+00:00,118927.0,118933.0,bearish,-8.0,stop_loss,London AM,SIDEWAYS,1099.0
2025-07,2025-07-29T14:45:00+00:00,2025-07-29T14:50:00+00:00,118322.0,118108.0,bearish,212.0,target,NY AM,DOWN,1311.0
2025-08,2025-08-01T14:31:00+00:00,2025-08-01T14:41:00+00:00,115599.0,115561.0,bullish,-40.0,stop_loss,NY AM,SIDEWAYS,1271.0
2025-08,2025-08-04T08:29:00+00:00,2025-08-04T08:30:00+00:00,114533.5,114470.5,bullish,-65.0,stop_loss,London AM,SIDEWAYS,1206.0
2025-08,2025-08-08T08:56:00+00:00,2025-08-08T09:07:00+00:00,116641.0,116617.0,bullish,-26.0,stop_loss,London AM,SIDEWAYS,1180.0
2025-08,2025-08-11T08:39:00+00:00,2025-08-11T09:04:00+00:00,121687.5,121668.5,bullish,-21.0,stop_loss,London AM,UP,1159.0
2025-08,2025-08-12T14:29:00+00:00,2025-08-12T14:31:00+00:00,119291.5,119208.5,bullish,-85.0,stop_loss,NY AM,SIDEWAYS,1074.0
2025-08,2025-08-13T08:46:00+00:00,2025-08-13T08:53:00+00:00,119920.0,120033.0,bullish,111.0,target,London AM,UP,1185.0
2025-08,2025-08-13T14:15:00+00:00,2025-08-13T14:16:00+00:00,122081.5,121996.5,bullish,-87.0,stop_loss,NY AM,UP,1098.0
2025-08,2025-08-15T08:13:00+00:00,2025-08-15T08:14:00+00:00,119151.5,119070.5,bullish,-83.0,stop_loss,London AM,SIDEWAYS,1015.0
2025-08,2025-08-20T08:35:00+00:00,2025-08-20T08:37:00+00:00,113867.5,113852.5,bullish,-17.0,stop_loss,London AM,SIDEWAYS,998.0
2025-08,2025-08-26T08:19:00+00:00,2025-08-26T08:20:00+00:00,110310.5,110291.5,bullish,-21.0,stop_loss,London AM,SIDEWAYS,977.0
2025-08,2025-08-27T14:15:00+00:00,2025-08-27T14:16:00+00:00,111615.5,111765.0,bullish,147.5,target,NY AM,UP,1124.5
2025-08,2025-08-29T14:22:00+00:00,2025-08-29T14:26:00+00:00,108789.5,108598.5,bullish,-193.0,stop_loss,NY AM,SIDEWAYS,931.5
2025-08,2025-08-06T08:22:00+00:00,2025-08-06T08:25:00+00:00,114103.0,114129.0,bearish,-28.0,stop_loss,London AM,SIDEWAYS,903.5
2025-08,2025-08-06T14:19:00+00:00,2025-08-06T14:20:00+00:00,114276.5,114317.5,bearish,-43.0,stop_loss,NY AM,SIDEWAYS,860.5
2025-08,2025-08-11T14:50:00+00:00,2025-08-11T14:51:00+00:00,120130.5,120143.5,bearish,-15.0,stop_loss,NY AM,SIDEWAYS,845.5
2025-08,2025-08-12T08:40:00+00:00,2025-08-12T08:41:00+00:00,118936.0,118960.0,bearish,-26.0,stop_loss,London AM,DOWN,819.5
2025-08,2025-08-15T14:01:00+00:00,2025-08-15T14:02:00+00:00,117860.5,117899.5,bearish,-41.0,stop_loss,NY AM,DOWN,778.5
2025-08,2025-08-18T08:10:00+00:00,2025-08-18T08:11:00+00:00,115353.0,115443.0,bearish,-92.0,stop_loss,London AM,DOWN,686.5
2025-08,2025-08-18T14:36:00+00:00,2025-08-18T14:37:00+00:00,115368.0,115216.0,bearish,150.0,target,NY AM,SIDEWAYS,836.5
2025-08,2025-08-22T08:42:00+00:00,2025-08-22T08:43:00+00:00,113081.5,113086.5,bearish,-7.0,stop_loss,London AM,DOWN,829.5
2025-08,2025-08-26T14:59:00+00:00,2025-08-26T15:03:00+00:00,110454.5,110565.5,bearish,-113.0,stop_loss,NY AM,DOWN,716.5
2025-08,2025-08-29T09:09:00+00:00,2025-08-29T09:18:00+00:00,109678.5,109737.5,bearish,-61.0,stop_loss,London AM,DOWN,655.5
2025-09,2025-09-01T08:54:00+00:00,2025-09-01T08:56:00+00:00,109600.0,109560.0,bullish,-42.0,stop_loss,London AM,SIDEWAYS,613.5
2025-09,2025-09-01T14:23:00+00:00,2025-09-01T14:28:00+00:00,109094.5,109053.5,bullish,-43.0,stop_loss,NY AM,SIDEWAYS,570.5
2025-09,2025-09-05T08:34:00+00:00,2025-09-05T08:35:00+00:00,112776.0,112758.0,bullish,-20.0,stop_loss,London AM,UP,550.5
2025-09,2025-09-08T08:03:00+00:00,2025-09-08T08:04:00+00:00,111284.5,111336.0,bullish,49.5,target,London AM,UP,600.0
2025-09,2025-09-09T08:11:00+00:00,2025-09-09T08:18:00+00:00,113054.5,113009.5,bullish,-47.0,stop_loss,London AM,UP,553.0
2025-09,2025-09-10T14:45:00+00:00,2025-09-10T14:46:00+00:00,114109.0,114071.0,bullish,-40.0,stop_loss,NY AM,UP,513.0
2025-09,2025-09-12T08:31:00+00:00,2025-09-12T08:34:00+00:00,115198.0,115152.0,bullish,-48.0,stop_loss,London AM,SIDEWAYS,465.0
2025-09,2025-09-12T14:14:00+00:00,2025-09-12T14:37:00+00:00,115174.5,115047.5,bullish,-129.0,stop_loss,NY AM,SIDEWAYS,336.0
2025-09,2025-09-16T08:57:00+00:00,2025-09-16T09:28:00+00:00,115700.5,115653.5,bullish,-49.0,stop_loss,London AM,UP,287.0
