entry_time,exit_time,direction,exit_type,bars_held,pnl,hour_et,dow_et,month,kill_zone
2025-05-21T13:33:00+00:00,2025-05-21T17:27:00+00:00,LONG,sl,5,-814.0,9,2,2025-05,False
2025-05-22T12:00:00+00:00,2025-05-22T13:41:00+00:00,SHORT,time,60,-486.5,8,3,2025-05,False
2025-05-28T10:34:00+00:00,2025-05-28T14:51:00+00:00,LONG,time,60,-284.0,6,2,2025-05,False
2025-05-28T18:53:00+00:00,2025-05-28T19:58:00+00:00,SHORT,time,60,791.0,14,2,2025-05,True
2025-05-28T20:02:00+00:00,2025-05-28T20:23:00+00:00,SHORT,sl,20,-954.0,16,2,2025-05,False
2025-06-16T22:49:00+00:00,2025-06-16T23:53:00+00:00,SHORT,time,60,366.0,18,0,2025-06,False
2025-06-18T18:04:00+00:00,2025-06-18T18:58:00+00:00,SHORT,tp,25,1136.0,14,2,2025-06,True
2025-06-20T15:02:00+00:00,2025-06-20T15:37:00+00:00,SHORT,sl,31,-1029.0,11,4,2025-06,True
2025-06-25T17:42:00+00:00,2025-06-25T18:43:00+00:00,SHORT,time,60,-6.5,13,2,2025-06,False
2025-06-27T17:46:00+00:00,2025-06-29T23:03:00+00:00,SHORT,time,60,-634.0,13,4,2025-06,False
2025-06-30T13:34:00+00:00,2025-06-30T14:39:00+00:00,SHORT,time,60,221.0,9,0,2025-06,False
2025-06-30T20:01:00+00:00,2025-07-01T02:00:00+00:00,SHORT,time,60,-74.0,16,0,2025-06,False
2025-07-02T13:47:00+00:00,2025-07-02T14:30:00+00:00,LONG,tp,39,881.0,9,2,2025-07,False
2025-07-07T13:35:00+00:00,2025-07-07T14:36:00+00:00,SHORT,time,60,86.0,9,0,2025-07,False
2025-07-10T14:22:00+00:00,2025-07-10T15:37:00+00:00,SHORT,time,60,-514.0,10,3,2025-07,True
2025-07-11T00:24:00+00:00,2025-07-11T02:27:00+00:00,SHORT,time,60,146.0,20,3,2025-07,False
2025-07-16T15:21:00+00:00,2025-07-16T16:27:00+00:00,SHORT,time,60,-164.0,11,2,2025-07,True
2025-07-24T14:11:00+00:00,2025-07-24T15:37:00+00:00,SHORT,time,60,-301.5,10,3,2025-07,True
2025-07-30T19:01:00+00:00,2025-07-30T20:03:00+00:00,SHORT,sl,60,-1054.0,15,2,2025-07,False
2025-08-07T13:44:00+00:00,2025-08-07T14:52:00+00:00,SHORT,time,60,716.0,9,3,2025-08,False
2025-08-26T00:44:00+00:00,2025-08-26T01:52:00+00:00,SHORT,time,60,-339.0,20,0,2025-08,False
2025-10-02T14:48:00+00:00,2025-10-02T15:49:00+00:00,SHORT,time,60,221.0,10,3,2025-10,True
2025-10-03T13:43:00+00:00,2025-10-03T14:47:00+00:00,SHORT,time,60,293.5,9,4,2025-10,False
2025-10-16T16:32:00+00:00,2025-10-16T17:52:00+00:00,SHORT,time,60,-4.0,12,3,2025-10,False
2025-10-16T18:14:00+00:00,2025-10-16T19:23:00+00:00,SHORT,time,60,118.5,14,3,2025-10,True
2025-11-06T14:42:00+00:00,2025-11-06T15:01:00+00:00,SHORT,tp,15,1241.0,9,3,2025-11,False
2025-11-06T15:14:00+00:00,2025-11-06T15:45:00+00:00,SHORT,tp,28,1241.0,10,3,2025-11,True
2025-11-12T15:14:00+00:00,2025-11-12T19:41:00+00:00,SHORT,time,60,531.0,10,2,2025-11,True
2025-11-12T23:06:00+00:00,2025-11-13T00:15:00+00:00,SHORT,time,60,-211.5,18,2,2025-11,False
2025-11-17T15:05:00+00:00,2025-11-17T16:07:00+00:00,SHORT,time,60,1426.0,10,0,2025-11,True
2025-12-17T15:27:00+00:00,2025-12-17T15:40:00+00:00,SHORT,tp,11,1181.0,10,2,2025-12,True
2026-01-02T14:41:00+00:00,2026-01-02T15:23:00+00:00,SHORT,tp,38,1661.0,9,4,2026-01,False
2026-01-09T15:08:00+00:00,2026-01-09T15:23:00+00:00,SHORT,sl,9,-939.0,10,4,2026-01,True
2026-01-14T10:23:00+00:00,2026-01-14T14:32:00+00:00,SHORT,tp,34,1121.0,5,2,2026-01,False
2026-01-14T14:53:00+00:00,2026-01-14T15:01:00+00:00,SHORT,tp,7,821.0,9,2,2026-01,False
2026-01-14T15:01:00+00:00,2026-01-14T15:16:00+00:00,SHORT,sl,4,-854.0,10,2,2026-01,True
2026-01-15T13:06:00+00:00,2026-01-15T15:57:00+00:00,LONG,time,60,-76.5,8,3,2026-01,False
2026-01-15T19:32:00+00:00,2026-01-15T20:56:00+00:00,SHORT,time,60,801.0,14,3,2026-01,True
2026-01-16T15:01:00+00:00,2026-01-16T15:20:00+00:00,SHORT,tp,16,596.0,10,4,2026-01,True
2026-01-16T15:31:00+00:00,2026-01-16T17:18:00+00:00,SHORT,time,60,-271.5,10,4,2026-01,True
2026-01-19T17:47:00+00:00,2026-01-20T01:00:00+00:00,LONG,time,60,-524.0,12,0,2026-01,False
2026-01-21T11:57:00+00:00,2026-01-21T13:41:00+00:00,SHORT,time,60,43.5,6,2,2026-01,False
2026-01-21T13:55:00+00:00,2026-01-21T14:13:00+00:00,LONG,tp,12,1106.0,8,2,2026-01,False
2026-01-22T14:57:00+00:00,2026-01-22T16:40:00+00:00,SHORT,time,60,-759.0,9,3,2026-01,False
2026-01-23T08:21:00+00:00,2026-01-23T15:49:00+00:00,SHORT,sl,46,-1329.0,3,4,2026-01,False
2026-01-28T16:54:00+00:00,2026-01-28T18:17:00+00:00,SHORT,time,60,-456.5,11,2,2026-01,True
2026-01-28T19:58:00+00:00,2026-01-28T21:02:00+00:00,SHORT,tp,46,1136.0,14,2,2026-01,True
2026-02-11T15:51:00+00:00,2026-02-11T15:54:00+00:00,SHORT,sl,2,-894.0,10,2,2026-02,True
2026-02-16T14:12:00+00:00,2026-02-17T01:35:00+00:00,SHORT,time,60,308.5,9,0,2026-02,False
2026-02-18T08:18:00+00:00,2026-02-18T10:48:00+00:00,LONG,time,60,406.0,3,2,2026-02,False
2026-02-18T12:31:00+00:00,2026-02-18T14:31:00+00:00,SHORT,tp,45,1451.0,7,2,2026-02,False
2026-02-18T18:53:00+00:00,2026-02-18T19:40:00+00:00,SHORT,tp,38,1016.0,13,2,2026-02,False
2026-02-19T09:48:00+00:00,2026-02-19T11:40:00+00:00,SHORT,time,60,183.5,4,3,2026-02,False
2026-02-19T14:37:00+00:00,2026-02-19T15:04:00+00:00,SHORT,sl,26,-1329.0,9,3,2026-02,False
2026-02-20T16:17:00+00:00,2026-02-20T17:25:00+00:00,SHORT,tp,43,1736.0,11,4,2026-02,True
2026-02-20T17:37:00+00:00,2026-02-20T18:44:00+00:00,SHORT,time,60,-944.0,12,4,2026-02,False
2026-03-06T15:10:00+00:00,2026-03-06T15:36:00+00:00,SHORT,sl,24,-1454.0,10,4,2026-03,True
2026-03-11T09:02:00+00:00,2026-03-11T10:25:00+00:00,SHORT,time,60,-69.0,5,2,2026-03,False
2026-03-11T12:43:00+00:00,2026-03-11T13:31:00+00:00,SHORT,sl,34,-1154.0,8,2,2026-03,False
2026-03-18T12:32:00+00:00,2026-03-18T14:14:00+00:00,SHORT,tp,27,866.0,8,2,2026-03,False
2026-03-18T14:15:00+00:00,2026-03-18T14:29:00+00:00,SHORT,tp,12,1001.0,10,2,2026-03,True
2026-04-02T01:32:00+00:00,2026-04-02T02:36:00+00:00,SHORT,time,60,796.0,21,2,2026-04,False
2026-04-06T14:40:00+00:00,2026-04-06T15:41:00+00:00,SHORT,time,60,411.0,10,0,2026-04,True
2026-04-06T22:25:00+00:00,2026-04-07T01:16:00+00:00,SHORT,time,60,756.0,18,0,2026-04,False
2026-04-08T20:01:00+00:00,2026-04-08T22:06:00+00:00,LONG,time,60,-94.0,16,2,2026-04,False
2026-04-09T17:32:00+00:00,2026-04-09T18:33:00+00:00,SHORT,time,60,536.0,13,3,2026-04,False
2026-04-22T13:50:00+00:00,2026-04-22T14:22:00+00:00,SHORT,sl,27,-1179.0,9,2,2026-04,False
2026-04-27T13:52:00+00:00,2026-04-27T14:00:00+00:00,SHORT,sl,6,-769.0,9,0,2026-04,False
2026-05-04T10:04:00+00:00,2026-05-04T13:13:00+00:00,SHORT,time,60,191.0,6,0,2026-05,False
2026-05-13T12:22:00+00:00,2026-05-13T13:24:00+00:00,SHORT,time,60,488.5,8,2,2026-05,False
